index,name,status,reason,returncode,seconds,outputs
1,har_cross_scene_split_train,dry_run,,,0,E:\Deskbook\Tea\origin-XFI\Ori-HAR\outputs_cross_baseline\cross_scene_split\checkpoints\best.pth
2,har_cross_scene_split_eval15,skipped,missing_required=E:\Deskbook\Tea\origin-XFI\Ori-HAR\outputs_cross_baseline\cross_scene_split\checkpoints\best.pth,,0,E:\Deskbook\Tea\origin-XFI\Ori-HAR\outputs_cross_baseline\cross_scene_split\eval\main_eval_latest.csv
3,har_cross_subject_split_train,dry_run,,,0,E:\Deskbook\Tea\origin-XFI\Ori-HAR\outputs_cross_baseline\cross_subject_split\checkpoints\best.pth
4,har_cross_subject_split_eval15,skipped,missing_required=E:\Deskbook\Tea\origin-XFI\Ori-HAR\outputs_cross_baseline\cross_subject_split\checkpoints\best.pth,,0,E:\Deskbook\Tea\origin-XFI\Ori-HAR\outputs_cross_baseline\cross_subject_split\eval\main_eval_latest.csv
