epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,modalities
44,0.0019966176176676527,NA,NA,NA,0.051520715967612325,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
45,0.001941009708098136,0.0014685589926392419,0.05028321620131248,0.03482711626775546,0.05028321620131248,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
46,0.0019633925728267058,NA,NA,NA,0.05028321620131248,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
47,0.0019523760897573084,NA,NA,NA,0.05028321620131248,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
48,0.0019218379424419253,NA,NA,NA,0.05028321620131248,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
49,0.0019471324215410276,NA,NA,NA,0.05028321620131248,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
50,0.0019048135220073163,0.0014608692224095095,0.04994266036554589,0.03467612169801413,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
51,0.0019127517115557567,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
52,0.001872027825564146,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
53,0.0018810725385555998,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
54,0.001877942459541373,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
55,0.001864599231397733,0.001470662987601288,0.05028257602720074,0.03452846548077145,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
56,0.001841448562918231,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
57,0.0018475841629551723,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
58,0.0018331156423082575,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
59,0.0018106935132527725,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
60,0.0018043392037507147,0.0015264168433924716,0.05164412611242779,0.03419628859603186,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
61,0.0018248419802403078,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
62,0.0018091078298166394,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
63,0.0017957047796808184,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
64,0.0017592873221728951,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
65,0.0017699959964957088,0.0014755831655795873,0.050825928976755363,0.03454822707713958,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
66,0.001774771782103926,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
67,0.001749914372107014,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
68,0.00176459385745693,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
69,0.0017461843682685867,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
70,0.0017542804604163394,0.0014522597027819954,0.05018646234033455,0.034936494931549725,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
71,0.0017344072668347508,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
72,0.0017375932179857045,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
73,0.0017470549967838452,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
74,0.0017108357846736908,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
75,0.00170602929207962,0.0014887187986566206,0.051089729242234,0.03363626765033309,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
76,0.0016989069704432041,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
77,0.0016935626250924542,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
78,0.001679436692269519,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
79,0.0016813675095327199,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
80,0.001682803289964795,0.0014620972376160055,0.05031267754953763,0.034257255533859186,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
81,0.0016656964014982805,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
82,0.001659256671089679,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
83,0.0016514813033863902,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
84,0.0016564188917400316,NA,NA,NA,0.04994266036554589,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
85,0.001651409498648718,0.0014152702830786978,0.04913828353332394,0.03348211583274224,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
86,0.0016652027636300773,NA,NA,NA,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
87,0.00162639408162795,NA,NA,NA,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
88,0.0016334970679599793,NA,NA,NA,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
89,0.0016298906662268564,NA,NA,NA,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
90,0.0016420211647637187,0.001419472229292429,0.0494451453166682,0.03322315095902125,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
91,0.001619372094515711,NA,NA,NA,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
92,0.0015969584725098684,NA,NA,NA,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
93,0.0016013329005800188,NA,NA,NA,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
94,0.0015952555765397847,NA,NA,NA,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
95,0.0016008404239546508,0.0014449266712787518,0.05023299724751837,0.033841593587881344,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
96,0.0016200252211419866,NA,NA,NA,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
97,0.0015781949323718436,NA,NA,NA,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
98,0.001577270107693039,NA,NA,NA,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
99,0.0015721542459214107,NA,NA,NA,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
100,0.001565164303407073,0.0014480050808889692,0.04995564968722511,0.033961675649766807,0.04913828353332394,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
