epoch,train_loss,val_metric,best_metric,lr,params,student_modalities,drop_counts
46,0.06433027272671461,NA,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
47,0.06356308606266975,NA,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
48,0.06467300487309695,NA,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
49,0.0650138693228364,NA,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
50,0.06271983284503221,0.08118584444638366,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
51,0.0610007937066257,NA,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
52,0.06273783426918089,NA,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
53,0.06276428050920367,NA,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
54,0.06299737916514278,NA,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
55,0.06187592185661197,0.08448179851191227,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
56,0.06261083175055683,NA,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
57,0.05994429169222713,NA,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
58,0.06198671866580844,NA,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
59,0.05992749401181936,NA,0.05788049718437312,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
60,0.06039682845026255,0.056816369726230026,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
61,0.06170337475091219,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
62,0.05959161866828799,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
63,0.06045969782955945,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
64,0.059557936975732445,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
65,0.05870238111913204,0.0822801350816027,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
66,0.05865640286542475,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
67,0.05936008563823998,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
68,0.05919612813740969,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
69,0.05936155758053065,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
70,0.058898925194516775,0.06505030927331107,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
71,0.0574345536660403,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
72,0.05802127489261329,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
73,0.05737961241789162,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
74,0.05915861120820046,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
75,0.055072548856958746,0.058441956976410275,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
76,0.05749032785557211,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
77,0.05758961926400662,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
78,0.058974954998120666,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
79,0.05538912340067327,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
80,0.05733484015613794,0.06636775648475719,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
81,0.05635134577564895,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
82,0.05596418219618499,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
83,0.056768063897266983,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
84,0.056807253712788226,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
85,0.056291754610836506,0.059817266726337,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
86,0.05565142977237701,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
87,0.05673222197033465,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
88,0.05480293601192534,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
89,0.0543080587182194,NA,0.056816369726230026,0.0001,11495092,vk+depth+lidar+mmwave+wifi-csi,1/2/3
