epoch,train_loss,val_hpe_mpjpe,val_hpe_pa_mpjpe,val_har_acc,val_har_macro_f1,best_hpe_mpjpe,best_har_acc,best_joint_score,lr,params
1,0.8226093049272895,NA,NA,NA,NA,inf,0.0,inf,0.0001,11774160
2,0.22805324547737837,NA,NA,NA,NA,inf,0.0,inf,0.0001,11774160
3,0.18500621286779642,NA,NA,NA,NA,inf,0.0,inf,0.0001,11774160
4,0.16456185258552433,NA,NA,NA,NA,inf,0.0,inf,0.0001,11774160
5,0.14111384363472462,0.07968791532336603,0.040085722466709606,0.8962152388078314,0.8958806841739206,0.07968791532336603,0.8962152388078314,0.18347267651553464,0.0001,11774160
6,0.1342024901099503,NA,NA,NA,NA,0.07968791532336603,0.8962152388078314,0.18347267651553464,0.0001,11774160
7,0.13057703184708952,NA,NA,NA,NA,0.07968791532336603,0.8962152388078314,0.18347267651553464,0.0001,11774160
8,0.11871568773686886,NA,NA,NA,NA,0.07968791532336603,0.8962152388078314,0.18347267651553464,0.0001,11774160
9,0.1148792206980288,NA,NA,NA,NA,0.07968791532336603,0.8962152388078314,0.18347267651553464,0.0001,11774160
10,0.10471853974461555,0.06590729864800358,0.03669149867787938,0.9063006609302906,0.907304343890991,0.06590729864800358,0.9063006609302906,0.159606637717713,0.0001,11774160
11,0.1095266504958272,NA,NA,NA,NA,0.06590729864800358,0.9063006609302906,0.159606637717713,0.0001,11774160
12,0.10002201304212213,NA,NA,NA,NA,0.06590729864800358,0.9063006609302906,0.159606637717713,0.0001,11774160
13,0.09643425322696567,NA,NA,NA,NA,0.06590729864800358,0.9063006609302906,0.159606637717713,0.0001,11774160
14,0.09511881589516998,NA,NA,NA,NA,0.06590729864800358,0.9063006609302906,0.159606637717713,0.0001,11774160
15,0.09136930338293314,0.0760128592535963,0.03486783295518698,0.9070956478363886,0.9065928196367465,0.06590729864800358,0.9070956478363886,0.159606637717713,0.0001,11774160
16,0.09568870250880718,NA,NA,NA,NA,0.06590729864800358,0.9070956478363886,0.159606637717713,0.0001,11774160
17,0.08877383663132787,NA,NA,NA,NA,0.06590729864800358,0.9070956478363886,0.159606637717713,0.0001,11774160
18,0.09136086872592568,NA,NA,NA,NA,0.06590729864800358,0.9070956478363886,0.159606637717713,0.0001,11774160
19,0.08869841762632132,NA,NA,NA,NA,0.06590729864800358,0.9070956478363886,0.159606637717713,0.0001,11774160
20,0.08330045580491424,0.05797910291763341,0.03375262746367867,0.8882497817683003,0.887734888359354,0.05797910291763341,0.9070956478363886,0.159606637717713,0.0001,11774160
21,0.08474901310354471,NA,NA,NA,NA,0.05797910291763341,0.9070956478363886,0.159606637717713,0.0001,11774160
22,0.08414472920075058,NA,NA,NA,NA,0.05797910291763341,0.9070956478363886,0.159606637717713,0.0001,11774160
23,0.08001571958139539,NA,NA,NA,NA,0.05797910291763341,0.9070956478363886,0.159606637717713,0.0001,11774160
