epoch,train_loss,val_metric,best_metric,lr,params,student_modalities,drop_counts
48,0.09161768379807472,NA,0.0664655065830843,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
49,0.09247910667210818,NA,0.0664655065830843,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
50,0.09237022640183568,0.06495701519869736,0.06495701519869736,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
51,0.09132732095196844,NA,0.06495701519869736,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
52,0.09504622570425272,NA,0.06495701519869736,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
53,0.09183510440960527,NA,0.06495701519869736,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
54,0.09244470315426588,NA,0.06495701519869736,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
55,0.09195057583600283,0.060637867767821374,0.060637867767821374,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
56,0.09170700395107269,NA,0.060637867767821374,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
57,0.09198713072761894,NA,0.060637867767821374,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
58,0.09127078726142644,NA,0.060637867767821374,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
59,0.09336533874645829,NA,0.060637867767821374,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
60,0.08934478913247586,0.0714576877175104,0.060637867767821374,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
61,0.09208204126358033,NA,0.060637867767821374,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
62,0.0861588105596602,NA,0.060637867767821374,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
63,0.08733980798907579,NA,0.060637867767821374,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
64,0.09029958336055278,NA,0.060637867767821374,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
65,0.08810908752679825,0.05970387622223469,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
66,0.0878238324970007,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
67,0.08340223712101578,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
68,0.08867508245259523,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
69,0.0876020008586347,NA,0.05970387622223469,0.0001,7654452,depth+lidar+mmwave+wifi-csi,1/2/3
