project,method,split,source_file,modality_set,ours_mpjpe_mm,official_mpjpe_mm,delta_mpjpe_mm,mpjpe_trend,ours_pa_mpjpe_mm,official_pa_mpjpe_mm,delta_pa_mpjpe_mm,pa_mpjpe_trend
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,vk+lidar+mmwave,1035.05,88.40,946.65,DEGRADED,237.95,57.20,180.75,DEGRADED
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,vk+lidar+wifi-csi,4736.11,93.00,4643.11,DEGRADED,271.23,59.70,211.53,DEGRADED
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,vk+mmwave+wifi-csi,4769.71,88.50,4681.21,DEGRADED,255.98,57.10,198.88,DEGRADED
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,depth+lidar+mmwave,310.49,96.00,214.49,DEGRADED,75.92,47.30,28.62,DEGRADED
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,depth+lidar+wifi-csi,177.40,102.00,75.40,DEGRADED,66.98,48.10,18.88,DEGRADED
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,depth+mmwave+wifi-csi,121.88,97.00,24.88,DEGRADED,54.83,47.10,7.73,DEGRADED
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,lidar+mmwave+wifi-csi,4360.45,107.40,4253.05,DEGRADED,322.27,63.10,259.17,DEGRADED
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,vk+depth+lidar+mmwave,593.34,83.50,509.84,DEGRADED,93.24,47.60,45.64,DEGRADED
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,vk+depth+lidar+wifi-csi,67.89,86.00,-18.11,IMPROVED,40.53,48.20,-7.67,IMPROVED
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,vk+depth+mmwave+wifi-csi,71.27,84.00,-12.73,IMPROVED,38.91,47.60,-8.69,IMPROVED
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,vk+lidar+mmwave+wifi-csi,4876.08,88.60,4787.48,DEGRADED,239.18,57.10,182.08,DEGRADED
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,depth+lidar+mmwave+wifi-csi,112.99,97.60,15.39,DEGRADED,50.72,47.40,3.32,DEGRADED
HPE,VK-RCD-Teacher,random_split,teacher_all_combinations.csv,vk+depth+lidar+mmwave+wifi-csi,48.45,83.70,-35.25,IMPROVED,33.06,47.60,-14.54,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk,92.66,93.90,-1.24,IMPROVED,42.60,60.30,-17.70,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,depth,53.88,101.80,-47.92,IMPROVED,35.61,48.40,-12.79,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,lidar,139.90,167.10,-27.20,IMPROVED,93.44,103.20,-9.76,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,mmwave,114.98,127.40,-12.42,IMPROVED,58.13,69.80,-11.67,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,wifi-csi,222.14,225.60,-3.46,IMPROVED,110.19,105.30,4.89,DEGRADED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+depth,51.65,86.10,-34.45,IMPROVED,34.29,48.10,-13.81,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+lidar,73.18,93.00,-19.82,IMPROVED,41.92,59.70,-17.78,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+mmwave,68.93,88.80,-19.87,IMPROVED,38.90,57.30,-18.40,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+wifi-csi,88.11,93.00,-4.89,IMPROVED,42.30,59.50,-17.20,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,depth+lidar,53.00,102.50,-49.50,IMPROVED,35.35,48.40,-13.05,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,depth+mmwave,52.32,98.00,-45.68,IMPROVED,34.64,47.30,-12.66,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,depth+wifi-csi,53.54,101.80,-48.26,IMPROVED,35.52,48.10,-12.58,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,lidar+mmwave,97.54,109.80,-12.26,IMPROVED,55.09,63.40,-8.31,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,lidar+wifi-csi,134.11,159.50,-25.39,IMPROVED,93.22,102.70,-9.48,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,mmwave+wifi-csi,108.54,117.20,-8.66,IMPROVED,57.27,62.70,-5.43,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+depth+lidar,51.10,84.80,-33.70,IMPROVED,34.16,48.20,-14.04,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+depth+mmwave,50.50,83.40,-32.90,IMPROVED,33.52,47.30,-13.78,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+depth+wifi-csi,51.63,85.30,-33.67,IMPROVED,34.29,48.10,-13.81,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+lidar+mmwave,66.08,88.40,-22.32,IMPROVED,38.77,57.20,-18.43,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+lidar+wifi-csi,70.68,93.00,-22.32,IMPROVED,41.76,59.70,-17.94,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+mmwave+wifi-csi,66.69,88.50,-21.81,IMPROVED,38.80,57.10,-18.30,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,depth+lidar+mmwave,51.92,96.00,-44.08,IMPROVED,34.50,47.30,-12.80,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,depth+lidar+wifi-csi,52.86,102.00,-49.14,IMPROVED,35.38,48.10,-12.72,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,depth+mmwave+wifi-csi,52.13,97.00,-44.87,IMPROVED,34.62,47.10,-12.48,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,lidar+mmwave+wifi-csi,94.20,107.40,-13.20,IMPROVED,55.10,63.10,-8.00,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+depth+lidar+mmwave,50.25,83.50,-33.25,IMPROVED,33.45,47.60,-14.15,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+depth+lidar+wifi-csi,51.05,86.00,-34.95,IMPROVED,34.18,48.20,-14.02,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+depth+mmwave+wifi-csi,50.41,84.00,-33.59,IMPROVED,33.54,47.60,-14.06,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+lidar+mmwave+wifi-csi,64.22,88.60,-24.38,IMPROVED,38.75,57.10,-18.35,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,depth+lidar+mmwave+wifi-csi,51.78,97.60,-45.82,IMPROVED,34.54,47.40,-12.86,IMPROVED
HPE,VK-RCD-Student-VK,random_split,all_combinations.csv,vk+depth+lidar+mmwave+wifi-csi,50.17,83.70,-33.53,IMPROVED,33.48,47.60,-14.12,IMPROVED
