method,task,protocol,stage,epochs_observed,first_loss,last_loss,loss_delta,normalized_drop,last3_rel_drift,convergence_status,metric_hint,source,evidence_path,note
RGB-XFi,HPE,cross_scene,train,3,0.05434751,0.02688222,0.02746529,0.027465,0.010344,weakly_improving,,xfi_log,/apps/users/icps_intelligence/data/lyg/X-Fi/outputs/rgb_subset_runs/xfi_rgb_20260703_210806/logs/01_xfi_rgb_hpe_cross_scene_train.log,Fixed-budget diagnostic; not a full convergence proof.
RGB-XFi,HPE,cross_scene,train,7,0.02550905,0.02579680,-0.00028775,-0.000288,0.000081,not_improving_or_noisy,,xfi_log,/apps/users/icps_intelligence/data/lyg/X-Fi/outputs/rgb_subset_runs/xfi_rgb_20260704_013115/logs/01_xfi_rgb_hpe_cross_scene_train.log,Fixed-budget diagnostic; not a full convergence proof.
RGB-XFi,HPE,cross_subject,train,3,0.05857201,0.02547766,0.03309435,0.033094,0.005183,weakly_improving,,xfi_log,/apps/users/icps_intelligence/data/lyg/X-Fi/outputs/rgb_subset_runs/xfi_rgb_20260704_013115/logs/03_xfi_rgb_hpe_cross_subject_train.log,Fixed-budget diagnostic; not a full convergence proof.
VK-RMD,HPE,cross_scene,train,10,0.03757343,0.00382744,0.03374599,0.033746,0.000158,weakly_improving,best_mpjpe=0.082571,epoch_history,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_rgb_subset/teacher_vk_cross_scene/epoch_history.csv,Fixed-budget diagnostic; use together with identical update budget and sample manifest.
