file_path,file_type,task,method_name,input_modalities,missing_setting,split_protocol,metric_name,metric_value,metric_direction,baseline_reference,improvement_or_drop,is_ours,is_xfi_or_ori_baseline,is_superteacher_exploration,recommended_usage,reason,source_confidence
E:\Deskbook\Tea\tables\ablation_results.csv,csv,ablation,ablation_results,,,,,,,,,yes,no,no,ablation_table,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\baseline_comparison.csv,csv,unknown,baseline_comparison,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\body_latent_alignment_from_logs.csv,csv,unknown,body_latent_alignment_from_logs,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\fair_missing_modality_baseline.csv,csv,unknown,fair_missing_modality_baseline,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\leave_one_modality_delta.csv,csv,leave_one_out,leave_one_modality_delta,,,,,,,,,yes,no,no,main_table,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,Reproduced X-Fi/VK baseline,,,random split,avg_accuracy_pct,69.63,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,Reproduced X-Fi/VK baseline,,,random split,full_accuracy_pct,77.70,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-VK,,,random split,avg_accuracy_pct,85.15,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-VK,,,random split,full_accuracy_pct,96.56,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-NV,,,random split,avg_accuracy_pct,80.62,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-NV,,,random split,full_accuracy_pct,96.12,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-VK,,,cross-scene,avg_accuracy_pct,80.61,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-VK,,,cross-scene,full_accuracy_pct,95.25,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-NV,,,cross-scene,avg_accuracy_pct,76.70,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-NV,,,cross-scene,full_accuracy_pct,95.41,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-VK,,,cross-subject,avg_accuracy_pct,85.30,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-VK,,,cross-subject,full_accuracy_pct,96.12,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-NV,,,cross-subject,avg_accuracy_pct,81.26,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-NV,,,cross-subject,full_accuracy_pct,95.70,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,Official X-Fi/VK table,,,random split,avg_mpjpe_mm,103.70,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,Official X-Fi/VK table,,,random split,full_mpjpe_mm,83.70,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,VK-RMD Student-VK,,,random split,avg_mpjpe_mm,75.18,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,VK-RMD Student-VK,,,random split,full_mpjpe_mm,50.17,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,VK-RMD Student-NV,,,random split,avg_mpjpe_mm,84.68,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,VK-RMD Student-NV,,,random split,full_mpjpe_mm,51.03,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,VK-RMD Student-VK,,,cross-scene,avg_mpjpe_mm,142.02,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_hpe_results.csv,csv,HPE,VK-RMD Student-VK,,,cross-scene,full_mpjpe_mm,71.71,lower_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
