protocol,scene,subject,action,idx,rgb_vk_path,mmwave_vk_path,mse,mae,mean_joint_error,max_joint_error,nme,pck05,pck10,bbox_diag
cross_subject,E01,S01,A06,65,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame066.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame066.npy,402.01599121,15.59343433,24.72535324,61.32374573,0.08400920,0.11764706,0.76470588,294.31719971
cross_subject,E01,S01,A06,70,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame071.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame071.npy,334.83666992,13.04704952,21.70059204,57.94461060,0.07242605,0.47058824,0.70588235,299.62414551
cross_subject,E01,S01,A06,75,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame076.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame076.npy,757.04833984,22.59784317,36.45518112,65.36112976,0.12271357,0.00000000,0.23529412,297.07537842
cross_subject,E01,S01,A06,80,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame081.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame081.npy,229.56037903,9.78617573,15.92020416,45.96149063,0.05406702,0.58823529,0.82352941,294.45315552
cross_subject,E01,S01,A06,85,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame086.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame086.npy,214.86398315,11.89045048,18.91537857,43.76961136,0.06405979,0.29411765,0.88235294,295.27694702
cross_subject,E01,S01,A06,90,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame091.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame091.npy,306.09301758,12.82677555,20.93736839,61.90774536,0.06943468,0.41176471,0.88235294,301.54049683
cross_subject,E01,S01,A06,95,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame096.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame096.npy,323.49722290,15.10478687,23.91122627,46.39792633,0.07867893,0.11764706,0.76470588,303.90887451
cross_subject,E01,S01,A06,100,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame101.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame101.npy,476.62069702,17.07825470,26.85492134,72.04685211,0.09064644,0.11764706,0.76470588,296.26007080
cross_subject,E01,S01,A06,105,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame106.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame106.npy,435.40176392,16.24675941,26.59069633,59.50389862,0.08841785,0.17647059,0.70588235,300.73901367
cross_subject,E01,S01,A06,110,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A06/rgb/frame111.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A06/frame111.npy,507.44940186,18.12423134,29.05133247,59.03066254,0.09780843,0.05882353,0.76470588,297.02279663
