protocol,scene,subject,action,idx,rgb_vk_path,mmwave_vk_path,mse,mae,mean_joint_error,max_joint_error,nme,pck05,pck10,bbox_diag
cross_scene,E01,S02,A24,235,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame236.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame236.npy,627.33294678,19.71461487,33.33611679,49.45730972,0.09837444,0.11764706,0.52941176,338.86968994
cross_scene,E01,S02,A24,240,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame241.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame241.npy,561.96026611,18.72138023,31.36164474,55.01950455,0.09154481,0.11764706,0.52941176,342.58245850
cross_scene,E01,S02,A24,245,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame246.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame246.npy,1068.03930664,26.03208733,42.94628525,76.72537231,0.12141302,0.11764706,0.29411765,353.72058105
cross_scene,E01,S02,A24,250,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame251.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame251.npy,643.05847168,20.84439659,34.06918335,48.26134872,0.10669684,0.11764706,0.41176471,319.30825806
cross_scene,E01,S02,A24,255,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame256.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame256.npy,1349.06347656,29.46683311,48.79580307,87.73973846,0.13439731,0.05882353,0.17647059,363.07128906
cross_scene,E01,S02,A24,260,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame261.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame261.npy,250.97070312,12.77089405,20.41392899,43.64140701,0.06270410,0.52941176,0.94117647,325.55969238
cross_scene,E01,S02,A24,265,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame266.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame266.npy,1102.62756348,26.38724709,44.66101837,61.19432831,0.13009566,0.05882353,0.23529412,343.29367065
cross_scene,E01,S02,A24,270,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame271.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame271.npy,1024.30651855,24.98951912,42.22805786,58.05193710,0.12225326,0.11764706,0.29411765,345.41458130
cross_scene,E01,S02,A24,275,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame276.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame276.npy,413.05807495,14.97282028,25.90189362,65.02189636,0.07978815,0.23529412,0.88235294,324.63333130
cross_scene,E01,S02,A24,280,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame281.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame281.npy,1628.90332031,31.99463272,55.15867615,71.79172516,0.15720716,0.00000000,0.11764706,350.86618042
cross_scene,E01,S02,A24,285,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame286.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame286.npy,498.30664062,17.67855835,29.76066208,42.58310318,0.09318093,0.11764706,0.41176471,319.38577271
cross_scene,E01,S02,A24,290,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame291.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame291.npy,1325.81408691,28.67178917,48.43553543,87.59367371,0.13611638,0.05882353,0.17647059,355.83914185
cross_scene,E01,S02,A24,295,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A24/rgb/frame296.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A24/frame296.npy,474.63876343,17.15989113,28.61238098,48.65017700,0.08812286,0.11764706,0.52941176,324.68737793
cross_scene,E01,S02,A25,3,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame004.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame004.npy,740.93389893,20.01316833,30.51289368,103.10247040,0.08795258,0.23529412,0.76470588,346.92437744
cross_scene,E01,S02,A25,8,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame009.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame009.npy,243.77642822,13.38045597,20.41111565,31.94933891,0.06450871,0.29411765,0.94117647,316.40866089
cross_scene,E01,S02,A25,13,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame014.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame014.npy,933.94787598,22.64822578,34.87007523,110.58233643,0.09791194,0.23529412,0.76470588,356.13711548
cross_scene,E01,S02,A25,18,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame019.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame019.npy,284.18017578,14.01502991,21.38448334,37.18342209,0.06520910,0.41176471,0.76470588,327.93710327
cross_scene,E01,S02,A25,23,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame024.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame024.npy,459.68515015,17.41983986,27.85834503,43.43624115,0.08205825,0.17647059,0.58823529,339.49475098
cross_scene,E01,S02,A25,28,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame029.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame029.npy,710.90283203,21.70497513,35.99333954,49.97052383,0.10431037,0.05882353,0.35294118,345.06002808
cross_scene,E01,S02,A25,33,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame034.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame034.npy,397.04074097,15.85077953,26.25917244,46.62754822,0.08267547,0.17647059,0.64705882,317.61746216
cross_scene,E01,S02,A25,38,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame039.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame039.npy,1268.40966797,26.98788261,40.43313217,128.54335022,0.11150642,0.23529412,0.58823529,362.60812378
cross_scene,E01,S02,A25,43,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame044.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame044.npy,335.26208496,14.14193058,23.67389870,36.73866653,0.07307545,0.29411765,0.70588235,323.96514893
cross_scene,E01,S02,A25,48,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame049.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame049.npy,396.69320679,16.16303825,25.70038605,40.89757538,0.07604976,0.29411765,0.70588235,337.94171143
cross_scene,E01,S02,A25,53,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame054.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame054.npy,1253.92724609,28.34333992,46.78198242,88.86938477,0.13385337,0.05882353,0.17647059,349.50170898
cross_scene,E01,S02,A25,58,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame059.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame059.npy,340.80618286,16.26191330,24.15692520,39.48639297,0.07666283,0.11764706,0.70588235,315.10607910
cross_scene,E01,S02,A25,63,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame064.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame064.npy,774.67541504,23.26826859,35.25918579,75.51369476,0.10222943,0.11764706,0.52941176,344.90249634
cross_scene,E01,S02,A25,68,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame069.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame069.npy,582.43103027,19.91000175,31.77437019,54.83396149,0.09371234,0.11764706,0.47058824,339.06283569
cross_scene,E01,S02,A25,73,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame074.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame074.npy,461.67834473,17.47460365,28.06757927,44.29879761,0.08924064,0.11764706,0.52941176,314.51565552
cross_scene,E01,S02,A25,78,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame079.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame079.npy,1251.84179688,25.20164490,39.09991074,140.11122131,0.10739692,0.17647059,0.64705882,364.06918335
cross_scene,E01,S02,A25,83,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame084.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame084.npy,547.03479004,18.74017334,30.12068367,50.20801926,0.09165477,0.11764706,0.52941176,328.63192749
cross_scene,E01,S02,A25,88,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame089.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame089.npy,649.06835938,19.89603615,33.00095367,52.85081482,0.09849454,0.11764706,0.47058824,335.05361938
cross_scene,E01,S02,A25,93,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame094.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame094.npy,1092.64550781,26.02473450,42.45407104,93.92707825,0.12052444,0.11764706,0.29411765,352.24450684
cross_scene,E01,S02,A25,98,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S02/A25/rgb/frame099.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S02/A25/frame099.npy,594.50543213,19.81834793,31.77329063,50.88887024,0.10008925,0.11764706,0.47058824,317.44958496
