protocol,variant,mse,mae,nme,pck05,pck10,train_samples,val_samples
cross_scene,depth_cnn_no_rgb_online,3392.704190673828,46.45001895904541,0.2538193379342556,0.007279411827912554,0.037132353024790066,48114,16038
cross_subject,depth_cnn_no_rgb_online,906.737592010498,18.137769260406493,0.0842652566358447,0.43356617718935014,0.7899632373452187,51328,12824
random,depth_cnn_no_rgb_online,808.6901919555664,16.40541265487671,0.08128096792846919,0.5268382385373116,0.7979044181108474,51321,12831
