project,type,item,status,path,bytes
HPE,eval,ablation_distillation_full_structural_kd_all_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\ablation_distillation_full_structural_kd_all_combinations.csv,
HPE,eval,ablation_reliability_uniform_all_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\ablation_reliability_uniform_all_combinations.csv,
HPE,eval,ablation_reliability_attention_all_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\ablation_reliability_attention_all_combinations.csv,
HPE,eval,ablation_reliability_uncertainty_all_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\ablation_reliability_uncertainty_all_combinations.csv,
HPE,eval,ablation_encoder_mlp_vk_all_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\ablation_encoder_mlp_vk_all_combinations.csv,
HPE,eval,ablation_encoder_skeleton_prompt_all_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\ablation_encoder_skeleton_prompt_all_combinations.csv,
HPE,eval,teacher_cross_scene_all_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\teacher_cross_scene_all_combinations.csv,
HPE,eval,student_vk_cross_scene_all_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\student_vk_cross_scene_all_combinations.csv,
HPE,eval,student_nv_cross_scene_nonvisual_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\student_nv_cross_scene_nonvisual_combinations.csv,
HPE,eval,baseline_cross_scene_all_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\baseline_cross_scene_all_combinations.csv,
HPE,eval,teacher_cross_subject_all_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\teacher_cross_subject_all_combinations.csv,
HPE,eval,student_vk_cross_subject_all_combinations.csv,MISSING_EVAL,E:\Deskbook\Tea\HPE\outputs\eval\student_vk_cross_subject_all_combinations.csv,
