task,status,seconds,output,reason
HPE,done,863.012,/apps/users/icps_intelligence/data/lyg/X-Fi/tables/body_latent_alignment_hpe.csv,
HAR,done,800.092,/apps/users/icps_intelligence/data/lyg/X-Fi/tables/body_latent_alignment_har.csv,
