index,name,title,kind,status,reason,returncode,seconds,outputs
24,cross_subject_super_teacher_hpe_eval31,cross_subject | Super Teacher HPE combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_cross_subject\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_teacher_cross_subject_hpe_all_combinations.csv
25,cross_subject_super_teacher_har_eval,cross_subject | Super Teacher HAR combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_cross_subject\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_teacher_cross_subject_har_all_combinations.csv
26,cross_subject_hpe_student_vk_train,cross_subject | HPE Student-VK training from Super Teacher,train,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_cross_subject\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_hpe_student_cross_subject_vk\best.pth
27,cross_subject_hpe_student_vk_eval31,cross_subject | HPE Student-VK combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_hpe_student_cross_subject_vk\best.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_hpe_student_cross_subject_vk_all_combinations.csv
28,cross_subject_hpe_student_nv_train,cross_subject | HPE Student-NV training from Super Teacher,train,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_cross_subject\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_hpe_student_cross_subject_nv\best.pth
29,cross_subject_hpe_student_nv_eval,cross_subject | HPE Student-NV nonvisual combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_hpe_student_cross_subject_nv\best.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_hpe_student_cross_subject_nv_nonvisual_combinations.csv
30,cross_subject_har_student_vk_train,cross_subject | HAR Student-VK training from Super Teacher,train,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_cross_subject\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_har_student_cross_subject_vk\best.pth
31,cross_subject_har_student_vk_eval,cross_subject | HAR Student-VK combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_har_student_cross_subject_vk\best.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_har_student_cross_subject_vk_all_combinations.csv
32,cross_subject_har_student_nv_train,cross_subject | HAR Student-NV training from Super Teacher,train,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_cross_subject\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_har_student_cross_subject_nv\best.pth
33,cross_subject_har_student_nv_eval,cross_subject | HAR Student-NV nonvisual combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_har_student_cross_subject_nv\best.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_har_student_cross_subject_nv_nonvisual_combinations.csv
34,ablation_hpe_only_teacher_train,ablation | HPE-only Super Teacher,train,dry_run,,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_hpe_only\best_joint.pth;E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_hpe_only\best_hpe.pth;E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_hpe_only\best_har.pth
35,ablation_hpe_only_hpe_eval31,ablation | HPE-only teacher HPE combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_hpe_only\best_hpe.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_teacher_hpe_only_hpe_all_combinations.csv
36,ablation_har_only_teacher_train,ablation | HAR-only Super Teacher,train,dry_run,,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_har_only\best_joint.pth;E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_har_only\best_hpe.pth;E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_har_only\best_har.pth
37,ablation_har_only_har_eval,ablation | HAR-only teacher HAR combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_har_only\best_har.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_teacher_har_only_har_all_combinations.csv
