task,modality_set,vk_condition,perturbation_type,severity,num_batches,num_samples,generated_replaced,generated_missing,checkpoint,metric_name,final_metric,vk_expert_metric,best_non_vk_expert_metric,mean_non_vk_expert_metric,fusion_gain_vs_vk,fusion_gain_vs_best_non_vk,compensation_rate_vs_vk,fusion_better_than_best_non_vk_rate,alpha_vk,alpha_best_non_vk,alpha_non_vk_sum,alpha_quality_pearson
HAR,vk+depth,clean_vk,none,0.0,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.961875,0.960625,0.96125,0.96125,0.0012500000000000844,0.0006249999999999867,0.12698412698412698,0.001875,0.47176095767179504,0.5282390425354242,0.528239042328205,0.0027426684918979457
HAR,vk+depth,vk_noise_0.3,gaussian_scaled_by_batch_std,0.3,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.925,0.92125,0.92875,0.92875,0.003750000000000031,-0.00374999999999992,0.09523809523809523,0.003125,0.48013404502300544,0.5198659545462578,0.5198659549769946,-0.004951796250606433
HAR,vk+depth,vk_noise_0.6,gaussian_scaled_by_batch_std,0.6,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.896875,0.896875,0.896875,0.896875,0.0,0.0,0.08484848484848485,0.01125,0.47903019764227794,0.5209698024531826,0.5209698023577221,0.0040060946178242345
HAR,vk+depth,vk_joint_shuffle,joint_identity_shuffle,1.0,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.84125,0.806875,0.8575,0.8575,0.034375000000000044,-0.016249999999999987,0.18122977346278318,0.0,0.4643401483609341,0.5356598513916834,0.5356598516390658,0.011009943839849629
HAR,vk+depth,vk_sample_mismatch,batch_sample_roll_mismatch,1.0,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.96125,0.96,0.961875,0.961875,0.0012500000000000844,-0.0006249999999999867,0.171875,0.001875,0.4728031233069487,0.5271968775242567,0.5271968766930513,0.0030769973971048878
HAR,vk+mmwave,clean_vk,none,0.0,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.933125,0.925625,0.934375,0.934375,0.007499999999999951,-0.0012499999999999734,0.18487394957983194,0.003125,0.414150125207525,0.5858498745504767,0.585849874792475,-0.00955517924058649
HAR,vk+mmwave,vk_noise_0.3,gaussian_scaled_by_batch_std,0.3,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.883125,0.848125,0.885625,0.885625,0.03500000000000003,-0.0024999999999999467,0.2551440329218107,0.010625,0.37931696982559515,0.6206830313936371,0.6206830301744048,0.009347774697223409
HAR,vk+mmwave,vk_noise_0.6,gaussian_scaled_by_batch_std,0.6,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.829375,0.79125,0.843125,0.843125,0.038124999999999964,-0.01375000000000004,0.24550898203592814,0.016875,0.392657640749203,0.6073423596840439,0.6073423592507969,0.012215953531680177
HAR,vk+mmwave,vk_joint_shuffle,joint_identity_shuffle,1.0,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.609375,0.524375,0.725625,0.725625,0.08499999999999996,-0.11624999999999996,0.18134034165571616,0.008125,0.4971657609779504,0.5028342383014024,0.5028342390220496,-0.07951168266325093
HAR,vk+mmwave,vk_sample_mismatch,batch_sample_roll_mismatch,1.0,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.935625,0.928125,0.934375,0.934375,0.007500000000000062,0.0012500000000000844,0.16521739130434782,0.005,0.4151531357808562,0.5848468645382673,0.5848468642191438,-0.0011968281083050397
HAR,vk+depth+mmwave,clean_vk,none,0.0,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.9975,0.995625,0.9975,0.9946875,0.001875000000000071,0.0,0.42857142857142855,0.0,0.3171679745882284,0.3303857069503283,0.6828320254117717,-0.006930941797838417
HAR,vk+depth+mmwave,vk_noise_0.3,gaussian_scaled_by_batch_std,0.3,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.99625,0.994375,0.996875,0.994375,0.00187499999999996,-0.0006249999999999867,0.3333333333333333,0.0,0.31811932714103025,0.3276514890405815,0.6818806728589697,0.027706375188430717
HAR,vk+depth+mmwave,vk_noise_0.6,gaussian_scaled_by_batch_std,0.6,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.99625,0.995,0.99625,0.9928125,0.0012499999999999734,0.0,0.375,0.0,0.31842484918204716,0.32866130920643627,0.6815751508179528,0.012225212871070885
HAR,vk+depth+mmwave,vk_joint_shuffle,joint_identity_shuffle,1.0,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.98625,0.973125,0.990625,0.9846875,0.013124999999999942,-0.004375000000000018,0.4883720930232558,0.0,0.3129735788525431,0.3310773080592844,0.6870264211474568,0.019424188712992452
HAR,vk+depth+mmwave,vk_sample_mismatch,batch_sample_roll_mismatch,1.0,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.996875,0.99625,0.998125,0.9946875,0.0006249999999999867,-0.0012500000000000844,0.3333333333333333,0.0,0.31701171951106516,0.3299171323278279,0.6829882804889349,0.0061919673610531835
HAR,vk+depth+lidar+mmwave,clean_vk,none,0.0,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.9975,0.995625,0.9975,0.9952083334326745,0.001875000000000071,0.0,0.42857142857142855,0.0,0.2378572391954367,0.24931054848144413,0.7621427608045633,-0.00664584030188607
HAR,vk+depth+lidar+mmwave,vk_noise_0.3,gaussian_scaled_by_batch_std,0.3,100,1600,0,0,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth,Accuracy,0.996875,0.9975,0.9975,0.9947916667722165,-0.0006250000000000977,-0.0006250000000000977,0.0,0.0,0.2389061439438956,0.24624468268299096,0.7610938560561045,0.021463321295480293
