epoch,train_loss,val_metric,best_metric,lr,params,student_modalities,drop_counts
1,17.089406551599502,NA,0.0,0.0001,11219100,vk+depth+lidar+mmwave,1/2
2,6.439738905727864,NA,0.0,0.0001,11219100,vk+depth+lidar+mmwave,1/2
3,5.282417576611042,NA,0.0,0.0001,11219100,vk+depth+lidar+mmwave,1/2
4,4.552970442354679,NA,0.0,0.0001,11219100,vk+depth+lidar+mmwave,1/2
5,4.2426595325171945,0.9156222721037536,0.9156222721037536,0.0001,11219100,vk+depth+lidar+mmwave,1/2
6,3.707968007057905,NA,0.9156222721037536,0.0001,11219100,vk+depth+lidar+mmwave,1/2
7,3.523611108928919,NA,0.9156222721037536,0.0001,11219100,vk+depth+lidar+mmwave,1/2
8,3.6208601964861153,NA,0.9156222721037536,0.0001,11219100,vk+depth+lidar+mmwave,1/2
9,3.2480595015734433,NA,0.9156222721037536,0.0001,11219100,vk+depth+lidar+mmwave,1/2
