task,metric,unit,pair_count,win_count,tie_count,loss_count,win_rate_percent,mean_vk_gain,median_vk_gain,min_vk_gain,max_vk_gain,exact_sign_consistency_p
HPE,MPJPE,mm,15,15,0,0,100.0,28.556080897146167,2.2248068313628906,1.605341945892036,134.0304997358585,6.103515625e-05
HPE,PA-MPJPE,mm,15,15,0,0,100.0,16.697637475344475,1.310341800218957,1.054583857332375,67.88472109157522,6.103515625e-05
HAR,Accuracy,percentage_points,7,7,0,0,100.0,5.807635437265065,1.4870931537598153,0.10599825414639952,27.7466018206759,0.015625
HAR,Macro-F1,percentage_points,7,7,0,0,100.0,5.969794857613977,1.5068150122825017,0.106078886499958,28.953223991719973,0.015625
