project,file,method,split,modality_set,acc_pct,macro_f1_pct,loss,params
HAR,all_combinations.csv,VK-RCD-HAR-Teacher,random_split,depth+lidar+mmwave,95.62,95.61,0.20128617431641424,8606392
HAR,all_combinations.csv,VK-RCD-HAR-Teacher,random_split,vk+depth+lidar+mmwave,95.59,95.58,0.2035245884690266,8606392
HAR,student_nv_cross_scene_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_scene_split,depth,88.82,88.79,1.1417176479900237,8606392
HAR,student_nv_cross_scene_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_scene_split,lidar,8.94,6.39,3.6090860272869087,8606392
HAR,student_nv_cross_scene_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_scene_split,mmwave,79.70,79.99,1.274382356450963,8606392
HAR,student_nv_cross_scene_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_scene_split,depth+lidar,88.92,88.87,1.1100095358618587,8606392
HAR,student_nv_cross_scene_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_scene_split,depth+mmwave,95.45,95.45,0.33049440080746095,8606392
HAR,student_nv_cross_scene_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_scene_split,lidar+mmwave,79.68,79.99,1.1851007883480893,8606392
HAR,student_nv_cross_scene_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_scene_split,depth+lidar+mmwave,95.41,95.40,0.3327911004309661,8606392
HAR,student_nv_cross_subject_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_subject_split,depth,90.30,90.21,1.0042735858360679,8606392
HAR,student_nv_cross_subject_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_subject_split,lidar,25.30,22.23,3.435617314337513,8606392
HAR,student_nv_cross_subject_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_subject_split,mmwave,84.57,84.75,1.0003198994875258,8606392
HAR,student_nv_cross_subject_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_subject_split,depth+lidar,90.43,90.34,0.9620236587260682,8606392
HAR,student_nv_cross_subject_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_subject_split,depth+mmwave,95.76,95.74,0.39146842235792073,8606392
HAR,student_nv_cross_subject_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_subject_split,lidar+mmwave,86.74,86.76,0.787835282461072,8606392
HAR,student_nv_cross_subject_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,cross_subject_split,depth+lidar+mmwave,95.70,95.67,0.3925867510688837,8606392
HAR,student_nv_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,depth,88.57,88.47,0.7901308851629925,8606392
HAR,student_nv_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,lidar,26.31,25.14,2.703218692452113,8606392
HAR,student_nv_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,mmwave,83.37,83.57,0.7776917279436496,8606392
HAR,student_nv_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,depth+lidar,88.66,88.55,0.7626760703742038,8606392
HAR,student_nv_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,depth+mmwave,96.18,96.19,0.19105779743500714,8606392
HAR,student_nv_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,lidar+mmwave,85.39,85.47,0.6319157878935703,8606392
HAR,student_nv_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,depth+lidar+mmwave,96.11,96.12,0.19373982496045541,8606392
HAR,student_nv_random_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,depth,88.57,88.47,0.7901308851629925,8606392
HAR,student_nv_random_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,lidar,26.12,25.01,2.6992324708778264,8606392
HAR,student_nv_random_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,mmwave,83.37,83.57,0.7776917279436496,8606392
HAR,student_nv_random_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,depth+lidar,88.68,88.56,0.7621927820525216,8606392
HAR,student_nv_random_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,depth+mmwave,96.18,96.19,0.19105779743500714,8606392
HAR,student_nv_random_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,lidar+mmwave,85.30,85.38,0.6355615203537895,8606392
HAR,student_nv_random_nonvisual_combinations.csv,VK-RCD-HAR-Student-NV-Missing,random_split,depth+lidar+mmwave,96.12,96.13,0.19378730735576435,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk,65.31,65.70,1.6521573640942944,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,depth,88.02,87.86,0.8458911920093689,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,lidar,40.69,40.00,2.1956780843943897,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,mmwave,85.88,86.06,0.6488487265871812,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+depth,89.51,89.36,0.679921863725681,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+lidar,68.48,69.01,1.3509701982295037,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+mmwave,92.75,92.82,0.35926588979343704,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,depth+lidar,88.53,88.40,0.7774362448640776,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,depth+mmwave,96.45,96.44,0.16522132278697071,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,lidar+mmwave,89.43,89.48,0.464873525980793,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+depth+lidar,89.68,89.55,0.6614443251008041,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+depth+mmwave,96.56,96.55,0.1623159114804314,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+lidar+mmwave,92.75,92.83,0.35011194996465206,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,depth+lidar+mmwave,96.44,96.44,0.16721012180010664,8606392
HAR,student_vk_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+depth+lidar+mmwave,96.53,96.52,0.16233763878045018,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,vk,57.99,57.53,2.1022117168062153,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,depth,87.41,87.30,1.2967511967312735,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,lidar,19.98,17.51,3.891405961347096,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,mmwave,80.30,80.17,1.2871578341515157,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,vk+depth,88.84,88.79,1.0430204570921595,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,vk+lidar,59.39,58.81,1.9564501910886514,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,vk+mmwave,88.76,88.65,0.6773004910543174,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,depth+lidar,87.65,87.49,1.2098254834940099,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,depth+mmwave,94.94,94.93,0.40101346033286706,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,lidar+mmwave,81.15,81.42,1.160274254244867,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,vk+depth+lidar,88.95,88.88,1.0157533393471734,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,vk+depth+mmwave,95.32,95.32,0.3618694115858596,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,vk+lidar+mmwave,88.33,88.34,0.6852447949957972,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,depth+lidar+mmwave,94.87,94.87,0.4039951819567402,8606392
HAR,student_vk_cross_scene_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_scene_split,vk+depth+lidar+mmwave,95.25,95.25,0.3667532221915298,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,vk,65.22,67.65,2.5282486496537637,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,depth,90.05,89.96,1.1589183758408406,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,lidar,38.46,36.69,3.1196742962733977,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,mmwave,85.21,85.45,0.9812748078993827,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,vk+depth,91.58,91.51,0.9310396367499253,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,vk+lidar,68.95,70.90,2.0498965281072135,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,vk+mmwave,93.12,93.12,0.45882196800758596,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,depth+lidar,90.28,90.17,1.0659212536052487,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,depth+mmwave,95.71,95.68,0.4000372460968719,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,lidar+mmwave,88.10,88.14,0.756834638944133,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,vk+depth+lidar,91.72,91.64,0.9043901931835013,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,vk+depth+mmwave,96.10,96.07,0.3678709039962598,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,vk+lidar+mmwave,93.06,93.06,0.44812175494419326,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,depth+lidar+mmwave,95.74,95.71,0.39272126467440144,8606392
HAR,student_vk_cross_subject_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,cross_subject_split,vk+depth+lidar+mmwave,96.12,96.10,0.3626906109684105,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk,65.31,65.70,1.6521573640942944,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,depth,88.02,87.86,0.8458911920093689,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,lidar,40.80,40.10,2.1931977342697166,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,mmwave,85.88,86.06,0.6488487265871812,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+depth,89.51,89.36,0.679921863725681,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+lidar,68.54,69.05,1.3546980934187294,8606392
HAR,student_vk_random_all_combinations.csv,VK-RCD-HAR-Student-VK-Missing,random_split,vk+mmwave,92.75,92.82,0.35926588979343704,8606392
