epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,modalities
44,0.002044900508946739,NA,NA,NA,0.05096114442924978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
45,0.0020694051238242537,0.001437196007866214,0.04965983616953063,0.03500421839016142,0.04965983616953063,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
46,0.002046111369971186,NA,NA,NA,0.04965983616953063,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
47,0.0020259993862127884,NA,NA,NA,0.04965983616953063,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
48,0.0019999547271290796,NA,NA,NA,0.04965983616953063,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
49,0.0019824773091822864,NA,NA,NA,0.04965983616953063,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
50,0.001997881241841242,0.0014183802741049767,0.049237385269778,0.03388038823024857,0.049237385269778,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
51,0.001981583400629461,NA,NA,NA,0.049237385269778,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
52,0.001957632984383963,NA,NA,NA,0.049237385269778,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
53,0.0019366335553349927,NA,NA,NA,0.049237385269778,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
54,0.0019267493429360912,NA,NA,NA,0.049237385269778,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
55,0.001938715475029312,0.0014090321639356495,0.04898042070201685,0.03366101198961812,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
56,0.0019317326340824365,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
57,0.001886153726372868,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
58,0.0019039880459895357,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
59,0.0019063929329859093,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
60,0.0018779832895379513,0.0014661970209937556,0.05049631778443004,0.03515732718901487,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
61,0.0018755165822803973,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
62,0.0018560758584644644,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
63,0.0018604676368413494,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
64,0.0018380529831629247,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
65,0.00184696980251465,0.0014665334493985725,0.05071398146447732,0.034234390066822835,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
66,0.0018244930675718933,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
67,0.0018215931735467165,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
68,0.0017995871705934405,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
69,0.0018150224916171282,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
70,0.0018088666604598985,0.001428578947359649,0.04944598350233977,0.034154243789802266,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
71,0.0017894174971152096,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
72,0.0017734008433762938,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
73,0.0017904750965535641,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
74,0.0017631324398098515,NA,NA,NA,0.04898042070201685,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
75,0.0017629759084666148,0.0013923268297756915,0.04858145884559077,0.03356714181856633,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
76,0.0017509351877961308,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
77,0.001732544788508676,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
78,0.0017360397848533466,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
79,0.001733218672219664,NA,NA,NA,0.04858145884559077,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
