epoch,train_loss,val_mse,val_mae,val_nme,val_pck05,val_pck10
1,152.69269205093383,1634.2264617919923,31.530917530059813,0.165753852725029,0.03582720614154823,0.17591911686002276
2,35.228885402679445,1360.5645822143554,27.007474756240846,0.14284069180488587,0.1009926478075795,0.39509191341931
3,33.09793163935343,1148.6689530944825,24.204512853622436,0.1285715691745281,0.16000000020372682,0.47284926746739075
4,31.676262016296388,1160.4473210144042,24.460229864120482,0.1292782763019204,0.154485295296181,0.4706066215224564
5,30.836781686147052,978.4249514770507,22.0334645652771,0.11631261363625527,0.2152757369808387,0.532996326717548
6,30.010956961313884,1145.6717523193358,24.305513486862182,0.1300204723328352,0.16246323655592276,0.44759191358927636
7,29.510317185719806,1054.3454745483398,23.83174071311951,0.1254355317354202,0.15130514780641532,0.4680147095781285
8,29.058826382954916,1004.1126397705078,22.61426721572876,0.12073404990136623,0.19194853120949118,0.49516544413985686
9,28.554329592386882,1022.7215121459961,23.022850542068483,0.12167050406336784,0.17610294246464037,0.47680147148901597
10,27.920066801706948,1121.082859954834,24.383959827423094,0.13117569662630557,0.1293933830910828,0.42398897398263213
