epoch,train_loss,val_mse,val_mae,val_nme,val_pck05,val_pck10
1,148.0976936594645,1101.6723432922363,22.286525030136108,0.1032694298774004,0.28259191395831296,0.6586764715611935
2,35.17098316192627,1048.172622833252,20.97457476615906,0.09728122621774674,0.3321323562040925,0.6978125059604645
3,32.86906575520833,1067.6177334594727,22.064025545120238,0.10220942743122578,0.2805882367515005,0.6487316201627255
4,31.773922971089682,1017.7938677978516,21.152515773773192,0.0973001866787672,0.32141544207930567,0.6744852969050408
5,31.054466603597007,970.6264318847657,21.236229972839354,0.0982902593165636,0.28707720698788763,0.6625919151306152
6,30.02730067571004,907.5553649902344,20.459716758728028,0.09426055062562227,0.3073161779437214,0.6945036789774894
7,29.661534442901612,828.6946575927734,19.144339847564698,0.08854349963366985,0.35744485434144735,0.7160110330581665
8,28.999828968048096,816.8376080322265,19.339031257629394,0.08909291326999665,0.3515441196411848,0.7149816241860389
9,28.548090019226073,801.8511712646484,19.430352277755738,0.08888572525233031,0.3354963268339634,0.7143014746904374
10,28.126599725087484,810.3111697387695,19.42032448768616,0.08894561301916838,0.3381617659702897,0.7064889761805534
