index,name,title,project,kind,status,reason,returncode,seconds,outputs,log
3,har_no_random_train,HAR | Student-VK training without random missing-modality sampling,HAR,train,dry_run,,0,0.000,E:\Deskbook\Tea\HAR\outputs\final_supplement\student_vk_no_random_missing\best.pth,E:\Deskbook\Tea\HAR\outputs\final_supplement_runs\20260629_220346\logs\03_har_no_random_train.log
4,har_no_random_eval15,HAR | Student-VK no-random 15-combination evaluation,HAR,eval,skipped,missing_required=E:\Deskbook\Tea\HAR\outputs\final_supplement\student_vk_no_random_missing\best.pth,0,0.000,E:\Deskbook\Tea\HAR\outputs\eval\final_student_vk_no_random_all_combinations.csv;E:\Deskbook\Tea\HAR\outputs\eval\final_student_vk_no_random_all_combinations.md,E:\Deskbook\Tea\HAR\outputs\final_supplement_runs\20260629_220346\logs\04_har_no_random_eval15.log
